"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20092010",4795.87,82,233,243,-10,208.67,241.54,-32.87,2472,2737,-265,3422,3828,-406,4363,4771,-408
"ARI","20092010",5032.58,82,211,196,15,199.32,204.69,-5.37,2504,2427,77,3495,3439,56,4575,4409,166
"ATL","20092010",4988,82,230,250,-20,204.64,245.61,-40.97,2410,2716,-306,3251,3602,-351,4349,4671,-322
"BOS","20092010",4932.53,82,196,191,5,200.76,193.03,7.73,2599,2445,154,3531,3238,293,4686,4210,476
"BUF","20092010",4791.8,82,231,201,30,208.39,212.13,-3.74,2588,2574,14,3492,3545,-53,4564,4541,23
"CAR","20092010",4926.68,81,224,249,-25,227.74,252.88,-25.14,2373,2536,-163,3369,3614,-245,4570,4775,-205
"CBJ","20092010",4937.35,81,211,249,-38,186.91,206.16,-19.25,2317,2474,-157,3062,3391,-329,4015,4405,-390
"CGY","20092010",4979.9,82,201,203,-2,184.33,187.78,-3.45,2350,2372,-22,3355,3338,17,4571,4400,171
"CHI","20092010",5012.57,82,262,203,59,235.63,184.04,51.58,2799,2058,741,3781,2799,982,4979,3866,1113
"COL","20092010",4995.27,82,237,228,9,205.95,217.31,-11.36,2288,2627,-339,3053,3617,-564,3994,4843,-849
"DAL","20092010",4957.97,81,226,241,-15,210,204.79,5.21,2496,2538,-42,3475,3590,-115,4546,4730,-184
"DET","20092010",5015.12,82,223,207,16,226.74,186.69,40.05,2736,2413,323,3829,3248,581,5014,4162,852
"EDM","20092010",4997.1,82,206,278,-72,194.22,236.78,-42.57,2321,2717,-396,3213,3874,-661,4243,5179,-936
"FLA","20092010",5008.17,82,202,234,-32,188.75,222.84,-34.09,2331,2802,-471,3228,3827,-599,4255,5230,-975
"L.A","20092010",4919.5,82,231,211,20,198.44,199.85,-1.41,2389,2260,129,3405,3277,128,4393,4267,126
"MIN","20092010",4994.53,82,214,239,-25,191.07,186,5.08,2266,2415,-149,3193,3333,-140,4205,4429,-224
"MTL","20092010",4815.97,82,210,218,-8,204.57,222.73,-18.17,2345,2634,-289,3303,3661,-358,4488,5005,-517
"N.J","20092010",4990,82,216,186,30,204.51,173.64,30.87,2459,2213,246,3274,2961,313,4217,3924,293
"NSH","20092010",4990.77,82,217,221,-4,207.27,203.61,3.67,2508,2396,112,3522,3259,263,4615,4265,350
"NYI","20092010",4955.22,81,211,254,-43,229.9,237.39,-7.49,2471,2591,-120,3411,3594,-183,4583,4965,-382
"NYR","20092010",4977.13,82,219,214,5,248.79,251.88,-3.09,2425,2450,-25,3401,3443,-42,4525,4619,-94
"OTT","20092010",4986.47,82,220,233,-13,211.29,204.63,6.66,2436,2339,97,3345,3221,124,4481,4414,67
"PHI","20092010",4969.33,82,232,222,10,244.46,211.72,32.74,2589,2348,241,3590,3271,319,4789,4525,264
"PIT","20092010",4932.93,81,247,233,14,226.06,203.54,22.52,2651,2321,330,3692,3295,397,4864,4463,401
"S.J","20092010",4938.42,81,257,206,51,240.58,221.59,18.99,2563,2549,14,3603,3540,63,4797,4595,202
"STL","20092010",5002.07,82,218,218,0,211.69,218.36,-6.67,2444,2474,-30,3433,3462,-29,4530,4517,13
"T.B","20092010",5002,82,213,253,-40,197.86,223.68,-25.82,2367,2575,-208,3259,3514,-255,4237,4622,-385
"TOR","20092010",5003.18,82,210,263,-53,221.22,219.61,1.61,2671,2440,231,3788,3479,309,5171,4697,474
"VAN","20092010",4772.82,82,268,218,50,220.4,200.24,20.17,2534,2419,115,3565,3329,236,4672,4319,353
"WSH","20092010",5008.63,82,313,227,86,253.31,218.74,34.56,2693,2535,158,3766,3517,249,5197,4670,527
