"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20082009",4987.58,82,238,235,3,213.48,213.77,-0.28,2481,2500,-19,3465,3478,-13,4336,4279,57
"ARI","20082009",4901.5,81,200,248,-48,185.97,214.97,-29.01,2269,2555,-286,3148,3621,-473,4157,4808,-651
"ATL","20082009",4981.48,82,250,279,-29,215.47,242.73,-27.26,2306,2683,-377,3155,3605,-450,4122,4727,-605
"BOS","20082009",4926.88,81,267,188,79,214.54,208.09,6.45,2460,2495,-35,3361,3315,46,4409,4365,44
"BUF","20082009",4898.18,82,242,229,13,195.79,196.25,-0.46,2507,2575,-68,3380,3528,-148,4424,4611,-187
"CAR","20082009",4986.05,82,236,221,15,233.38,225.54,7.85,2675,2419,256,3758,3441,317,5028,4635,393
"CBJ","20082009",5009.65,82,220,223,-3,191.18,189.94,1.25,2371,2281,90,3229,3108,121,4231,4130,101
"CGY","20082009",4900.18,81,248,242,6,218.86,207.7,11.16,2611,2402,209,3651,3328,323,4829,4106,723
"CHI","20082009",4995.63,82,260,209,51,214.39,197.73,16.66,2683,2344,339,3546,3049,497,4535,3895,640
"COL","20082009",4989.5,82,190,253,-63,182.28,192.38,-10.1,2359,2376,-17,3187,3392,-205,4184,4709,-525
"DAL","20082009",5004.55,82,224,251,-27,192.66,199.93,-7.27,2369,2304,65,3381,3261,120,4331,4243,88
"DET","20082009",4927.73,81,285,237,48,231.31,189.57,41.74,2926,2242,684,3975,3025,950,5096,3754,1342
"EDM","20082009",4885.02,82,228,244,-16,202.95,224.76,-21.81,2303,2668,-365,3215,3697,-482,4273,4771,-498
"FLA","20082009",4998.32,82,231,223,8,208.49,238.5,-30.01,2412,2844,-432,3322,3883,-561,4399,4988,-589
"L.A","20082009",4802.32,82,202,226,-24,209.06,201.91,7.14,2383,2302,81,3497,3337,160,4589,4377,212
"MIN","20082009",4986.58,82,214,197,17,177.11,189.48,-12.37,2258,2518,-260,3165,3467,-302,4147,4500,-353
"MTL","20082009",4906.72,82,242,240,2,221.52,226.01,-4.49,2461,2601,-140,3396,3601,-205,4660,4917,-257
"N.J","20082009",4992.1,82,238,207,31,232.37,194.14,38.23,2698,2415,283,3626,3204,422,4690,4174,516
"NSH","20082009",4996.05,82,207,228,-21,197.98,216.32,-18.33,2375,2411,-36,3289,3317,-28,4275,4352,-77
"NYI","20082009",4876.53,82,198,274,-76,201.07,252.73,-51.66,2373,2751,-378,3230,3825,-595,4419,5215,-796
"NYR","20082009",5010.73,82,200,212,-12,252.58,242.92,9.67,2659,2433,226,3709,3384,325,4895,4341,554
"OTT","20082009",4993.48,82,213,231,-18,197.02,193.2,3.82,2406,2337,69,3259,3212,47,4324,4359,-35
"PHI","20082009",5004.82,82,260,232,28,212.86,234.03,-21.16,2441,2668,-227,3363,3708,-345,4506,4951,-445
"PIT","20082009",4909.82,82,258,233,25,217.33,206.91,10.42,2381,2484,-103,3304,3442,-138,4376,4722,-346
"S.J","20082009",4899.87,82,251,199,52,250.67,189.82,60.85,2720,2228,492,3731,3044,687,4892,4012,880
"STL","20082009",4994.82,82,227,227,0,203,199.41,3.59,2271,2342,-71,3235,3349,-114,4151,4477,-326
"T.B","20082009",5008.2,82,207,269,-62,195.25,221.03,-25.78,2338,2702,-364,3190,3643,-453,4137,4747,-610
"TOR","20082009",4945.9,81,242,283,-41,219.31,223.74,-4.42,2573,2458,115,3639,3552,87,4850,4791,59
"VAN","20082009",4830.18,81,242,208,34,212.23,199.64,12.59,2299,2360,-61,3236,3304,-68,4276,4290,-14
"WSH","20082009",4885.65,82,268,240,28,245.81,212.81,33,2748,2418,330,3807,3329,478,5145,4440,705
