"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20142015",5002.73,82,228,221,7,225.24,207.47,17.76,2458,2367,91,3578,3360,218,4719,4522,197
"ARI","20142015",4995.43,82,165,267,-102,194.76,249.09,-54.33,2393,2722,-329,3384,3790,-406,4618,5061,-443
"BOS","20142015",5025.32,82,209,201,8,207.26,201.91,5.35,2546,2449,97,3550,3373,177,4817,4420,397
"BUF","20142015",4989.98,82,153,269,-116,165.69,251.72,-86.02,1984,2921,-937,2640,4096,-1456,3446,5630,-2184
"CAR","20142015",4999.02,82,183,219,-36,223.51,211.72,11.79,2524,2237,287,3549,3221,328,4848,4311,537
"CBJ","20142015",4998.12,82,227,248,-21,210.48,238.53,-28.05,2366,2742,-376,3190,3667,-477,4215,4747,-532
"CGY","20142015",4990.97,82,237,213,24,203.23,209.55,-6.33,2252,2392,-140,3142,3438,-296,4387,4995,-608
"CHI","20142015",4994.18,82,220,186,34,237.12,210.55,26.57,2777,2477,300,3713,3276,437,5109,4316,793
"COL","20142015",5014.88,82,209,223,-14,190.12,241.26,-51.14,2286,2719,-433,3053,3791,-738,4087,5182,-1095
"DAL","20142015",4977.63,82,257,257,0,252.2,232.74,19.47,2558,2454,104,3749,3461,288,5104,4708,396
"DET","20142015",5017.65,82,231,211,20,223.64,205.79,17.85,2429,2322,107,3350,3138,212,4499,4046,453
"EDM","20142015",5004.33,82,193,276,-83,203.8,236.2,-32.4,2331,2464,-133,3268,3487,-219,4492,4692,-200
"FLA","20142015",5022.82,82,198,213,-15,202.9,196.56,6.34,2517,2424,93,3397,3332,65,4455,4333,122
"L.A","20142015",4990.72,82,218,197,21,219.12,196.49,22.63,2536,2215,321,3645,3158,487,4889,4150,739
"MIN","20142015",4973.47,82,227,198,29,219.04,177.79,41.25,2522,2266,256,3477,3177,300,4593,4410,183
"MTL","20142015",5007.15,82,214,184,30,205.92,216.38,-10.46,2334,2470,-136,3239,3415,-176,4527,4821,-294
"N.J","20142015",4998.07,82,176,209,-33,181.61,216.89,-35.28,2009,2518,-509,2785,3348,-563,3703,4390,-687
"NSH","20142015",5010.12,82,226,202,24,213.13,192.69,20.44,2614,2318,296,3632,3205,427,4882,4385,497
"NYI","20142015",5007.9,82,245,224,21,284.21,227.43,56.79,2770,2321,449,3813,3221,592,5126,4543,583
"NYR","20142015",4983.07,82,248,187,61,239.46,220.95,18.51,2582,2418,164,3478,3410,68,4620,4569,51
"OTT","20142015",5026.4,82,232,208,24,233.23,216.27,16.96,2540,2635,-95,3513,3570,-57,4813,4615,198
"PHI","20142015",4921.38,82,212,223,-11,210.25,225.33,-15.08,2413,2481,-68,3353,3444,-91,4628,4692,-64
"PIT","20142015",5001.57,82,217,204,13,222.69,209.65,13.05,2594,2401,193,3511,3240,271,4676,4333,343
"S.J","20142015",4881.58,82,224,226,-2,243.05,220.33,22.73,2592,2436,156,3691,3421,270,5097,4713,384
"STL","20142015",5003.42,82,239,197,42,221.88,190.42,31.46,2536,2233,303,3529,3122,407,4621,4295,326
"T.B","20142015",4977.03,82,259,206,53,214.06,194.3,19.76,2428,2287,141,3356,3185,171,4507,4283,224
"TOR","20142015",4989.98,82,206,257,-51,204.67,258.87,-54.2,2397,2748,-351,3335,3863,-528,4422,5038,-616
"VAN","20142015",4979.82,82,236,220,16,213.22,227.32,-14.1,2454,2446,8,3354,3376,-22,4429,4592,-163
"WPG","20142015",5009.77,82,223,204,19,230.91,225.68,5.23,2439,2350,89,3401,3240,161,4689,4360,329
"WSH","20142015",5001.93,82,237,199,38,217.38,203.91,13.47,2420,2368,52,3480,3330,150,4735,4601,134
