"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff"
"ANA","20182019",4872.03,82,196,247,-51,206.92,267.22,-60.3,2272,2726,-454,3278,3854,-576,4394,5050,-656
"ARI","20182019",4980.35,82,209,220,-11,220.01,226.15,-6.14,2520,2527,-7,3526,3557,-31,4724,4855,-131
"BOS","20182019",4983.53,82,257,212,45,230.68,215.59,15.09,2680,2416,264,3734,3326,408,4848,4376,472
"BUF","20182019",4994.35,82,221,268,-47,214.7,237.3,-22.6,2698,2704,-6,3659,3641,18,4688,4644,44
"CAR","20182019",4957.92,82,243,221,22,296.24,226.38,69.87,2822,2343,479,4036,3311,725,5350,4355,995
"CBJ","20182019",4953.42,82,256,231,25,232.84,222.79,10.05,2592,2418,174,3566,3327,239,4573,4403,170
"CGY","20182019",4950.92,82,289,223,66,255.27,213.46,41.8,2654,2301,353,3691,3241,450,4966,4274,692
"CHI","20182019",4979.32,82,267,291,-24,229.56,273.93,-44.38,2671,2851,-180,3512,3758,-246,4770,4873,-103
"COL","20182019",4972.7,82,258,244,14,223,226.05,-3.04,2676,2618,58,3547,3538,9,4762,4861,-99
"DAL","20182019",4962.6,82,209,200,9,231.25,222.93,8.33,2520,2591,-71,3375,3578,-203,4551,4869,-318
"DET","20182019",4996.98,82,224,272,-48,211.69,262.09,-50.4,2394,2760,-366,3291,3823,-532,4368,4926,-558
"EDM","20182019",4967.63,82,229,271,-42,221,247.94,-26.94,2392,2599,-207,3280,3551,-271,4425,4725,-300
"FLA","20182019",4899.23,82,264,273,-9,233.13,237.38,-4.25,2704,2517,187,3660,3498,162,4745,4636,109
"L.A","20182019",4980.73,82,199,259,-60,208.59,230.48,-21.89,2359,2578,-219,3338,3673,-335,4492,4843,-351
"MIN","20182019",4968.1,82,210,233,-23,220.89,203.76,17.13,2568,2419,149,3531,3424,107,4705,4645,60
"MTL","20182019",4957.72,82,246,236,10,242.37,223.67,18.71,2795,2550,245,3831,3458,373,5278,4628,650
"N.J","20182019",4984.4,82,219,271,-52,220.69,231.69,-10.99,2488,2594,-106,3390,3638,-248,4338,4796,-458
"NSH","20182019",4967.4,82,236,212,24,235.84,228.35,7.49,2679,2460,219,3696,3408,288,4899,4487,412
"NYI","20182019",4983.17,82,223,191,32,236.49,226.89,9.61,2360,2535,-175,3229,3484,-255,4328,4779,-451
"NYR","20182019",4902.67,82,221,267,-46,225.73,260,-34.27,2393,2774,-381,3248,3816,-568,4272,5029,-757
"OTT","20182019",4944.65,82,241,301,-60,217.34,245.89,-28.55,2428,2930,-502,3311,4003,-692,4376,5384,-1008
"PHI","20182019",4963.82,82,241,280,-39,235.99,236.74,-0.75,2583,2665,-82,3552,3580,-28,4740,4857,-117
"PIT","20182019",4981.5,82,271,238,33,248.94,230.67,18.27,2731,2729,2,3643,3673,-30,4795,4902,-107
"S.J","20182019",4962.17,82,289,258,31,257.56,229.82,27.75,2708,2324,384,3815,3237,578,5144,4314,830
"STL","20182019",4980.98,82,244,220,24,243.32,214.07,29.25,2604,2345,259,3531,3247,284,4693,4385,308
"T.B","20182019",4979.57,82,319,221,98,242.21,219.44,22.77,2621,2633,-12,3604,3542,62,4725,4667,58
"TOR","20182019",4958.17,82,286,249,37,275.02,240.67,34.35,2737,2718,19,3975,3847,128,5387,4960,427
"VAN","20182019",5009.97,82,219,248,-29,204.28,239.6,-35.32,2433,2597,-164,3395,3585,-190,4526,4818,-292
"VGK","20182019",4859.52,82,246,228,18,264.32,218.45,45.87,2815,2400,415,3884,3244,640,5254,4361,893
"WPG","20182019",4966.67,82,270,243,27,228.87,242.21,-13.34,2558,2741,-183,3530,3720,-190,4664,4907,-243
"WSH","20182019",4977.83,82,274,248,26,235.73,248.88,-13.15,2493,2585,-92,3567,3643,-76,4706,4877,-171
